10.87.80.187 exy9-mm-5gdmc-1401-LI-C-limgmt
10.87.80.189 exy9-mm-5gdmc-1401-LI-I-lidata
10.55.210.54 exy9-mm-5gdmc-1401-SLg-1-signet
10.55.210.55 exy9-mm-5gdmc-1401-SLg-2-signet
10.55.210.56 exy9-mm-5gdmc-1401-SLs-1-signet
10.55.210.57 exy9-mm-5gdmc-1401-SLs-2-signet
10.55.210.58 exy9-mm-5gdmc-1401-SGs-1-signet
10.55.210.59 exy9-mm-5gdmc-1401-SGs-2-signet
10.55.210.60 exy9-mm-5gdmc-1401-Sv-GTP-C-signet
173.101.128.4 exy9-mm-5gdmc-1401-N2-1-s1net
173.101.128.5 exy9-mm-5gdmc-1401-N2-2-s1net
10.55.210.61 exy9-mm-5gdmc-1401-SBI-Client-signet
10.55.210.61 exy9-mm-5gdmc-1401-SBI-Server-signet
10.13.16.180 hny9-mm-5gdmc-1301-CTUM-opnet
10.13.16.180 hny9-mm-5gdmc-1301-OAM-opnet
10.55.204.161 hny9-mm-5gdmc-1301-S11-GTP-C-signet
10.55.204.160 hny9-mm-5gdmc-1301-S10-GTP-C-signet
10.55.204.162 hny9-mm-5gdmc-1301-Gn-GTP-C-signet
10.55.204.163 hny9-mm-5gdmc-1301-DNS-signet
173.103.129.16 hny9-mm-5gdmc-1301-S1-MME-1-s1net
173.103.129.17 hny9-mm-5gdmc-1301-S1-MME-2-s1net
173.103.129.18 hny9-mm-5gdmc-1301-S1-MMEb-1-s1net
173.103.129.19 hny9-mm-5gdmc-1301-S1-MMEb-2-s1net
10.55.204.164 hny9-mm-5gdmc-1301-S6a-1-signet
10.55.204.165 hny9-mm-5gdmc-1301-S6a-2-signet
10.55.204.164 hny9-mm-5gdmc-1301-T6a-1-signet
10.55.204.165 hny9-mm-5gdmc-1301-T6a-2-signet
10.87.84.204 hny9-mm-5gdmc-1301-LI-C-limgmt
10.87.84.206 hny9-mm-5gdmc-1301-LI-I-lidata
10.55.204.166 hny9-mm-5gdmc-1301-SLg-1-signet
10.55.204.167 hny9-mm-5gdmc-1301-SLg-2-signet
10.55.204.168 hny9-mm-5gdmc-1301-SLs-1-signet
10.55.204.169 hny9-mm-5gdmc-1301-SLs-2-signet
10.55.204.170 hny9-mm-5gdmc-1301-SGs-1-signet
10.55.204.171 hny9-mm-5gdmc-1301-SGs-2-signet
10.55.204.172 hny9-mm-5gdmc-1301-Sv-GTP-C-signet
173.103.129.20 hny9-mm-5gdmc-1301-N2-1-s1net
173.103.129.21 hny9-mm-5gdmc-1301-N2-2-s1net
10.55.204.173 hny9-mm-5gdmc-1301-SBI-Client-signet
10.55.204.173 hny9-mm-5gdmc-1301-SBI-Server-signet
10.13.80.120 ldy9-mm-5gdmc-1201-CTUM-opnet
10.13.80.120 ldy9-mm-5gdmc-1201-OAM-opnet
10.55.61.156 ldy9-mm-5gdmc-1201-S11-GTP-C-signet
10.55.61.157 ldy9-mm-5gdmc-1201-S10-GTP-C-signet
10.55.61.158 ldy9-mm-5gdmc-1201-Gn-GTP-C-signet
10.55.61.159 ldy9-mm-5gdmc-1201-DNS-signet
173.104.4.144 ldy9-mm-5gdmc-1201-S1-MME-1-s1net
173.104.4.145 ldy9-mm-5gdmc-1201-S1-MME-2-s1net
173.104.4.146 ldy9-mm-5gdmc-1201-S1-MMEb-1-s1net
173.104.4.149 ldy9-mm-5gdmc-1201-S1-MMEb-2-s1net
10.55.75.40 ldy9-mm-5gdmc-1201-S6a-1-signet
10.55.75.41 ldy9-mm-5gdmc-1201-S6a-2-signet
10.55.75.40 ldy9-mm-5gdmc-1201-T6a-1-signet
10.55.75.41 ldy9-mm-5gdmc-1201-T6a-2-signet
10.87.195.96 ldy9-mm-5gdmc-1201-LI-C-limgmt
10.87.195.99 ldy9-mm-5gdmc-1201-LI-I-lidata
10.55.75.144 ldy9-mm-5gdmc-1201-SLg-1-signet
10.55.75.145 ldy9-mm-5gdmc-1201-SLg-2-signet
10.55.75.146 ldy9-mm-5gdmc-1201-SLs-1-signet
10.55.75.147 ldy9-mm-5gdmc-1201-SLs-2-signet
10.55.75.86 ldy9-mm-5gdmc-1201-SGs-1-signet
10.55.75.87 ldy9-mm-5gdmc-1201-SGs-2-signet
10.55.75.148 ldy9-mm-5gdmc-1201-Sv-GTP-C-signet
173.104.4.147 ldy9-mm-5gdmc-1201-N2-1-s1net
173.104.4.148 ldy9-mm-5gdmc-1201-N2-2-s1net
10.55.75.33 ldy9-mm-5gdmc-1201-SBI-Client-signet
10.55.75.33 ldy9-mm-5gdmc-1201-SBI-Server-signet
10.8.32.52 pxy9-mm-5gdmc-1101-CTUM-opnet
10.8.32.52 pxy9-mm-5gdmc-1101-OAM-opnet
10.55.152.193 pxy9-mm-5gdmc-1101-S11-GTP-C-signet
10.55.152.192 pxy9-mm-5gdmc-1101-S10-GTP-C-signet
10.55.152.194 pxy9-mm-5gdmc-1101-Gn-GTP-C-signet
10.55.152.195 pxy9-mm-5gdmc-1101-DNS-signet
173.119.0.128 pxy9-mm-5gdmc-1101-S1-MME-1-s1net
173.119.0.129 pxy9-mm-5gdmc-1101-S1-MME-2-s1net
173.119.0.130 pxy9-mm-5gdmc-1101-S1-MMEb-1-s1net
173.119.0.131 pxy9-mm-5gdmc-1101-S1-MMEb-2-s1net
10.55.152.196 pxy9-mm-5gdmc-1101-S6a-1-signet
10.55.152.197 pxy9-mm-5gdmc-1101-S6a-2-signet
10.55.152.196 pxy9-mm-5gdmc-1101-T6a-1-signet
10.55.152.197 pxy9-mm-5gdmc-1101-T6a-2-signet
10.87.82.181 pxy9-mm-5gdmc-1101-LI-C-limgmt
10.87.82.183 pxy9-mm-5gdmc-1101-LI-I-lidata
10.55.152.198 pxy9-mm-5gdmc-1101-SLg-1-signet
10.55.152.199 pxy9-mm-5gdmc-1101-SLg-2-signet
10.55.152.200 pxy9-mm-5gdmc-1101-SLs-1-signet
10.55.152.201 pxy9-mm-5gdmc-1101-SLs-2-signet
10.55.152.202 pxy9-mm-5gdmc-1101-SGs-1-signet
10.55.152.203 pxy9-mm-5gdmc-1101-SGs-2-signet
10.55.152.204 pxy9-mm-5gdmc-1101-Sv-GTP-C-signet
173.119.0.132 pxy9-mm-5gdmc-1101-N2-1-s1net
173.119.0.133 pxy9-mm-5gdmc-1101-N2-2-s1net
10.55.152.205 pxy9-mm-5gdmc-1101-SBI-Client-signet
10.55.152.205 pxy9-mm-5gdmc-1101-SBI-Server-signet
10.14.73.186 wiy9-mm-5gdmc-1101-CTUM-opnet
10.14.73.186 wiy9-mm-5gdmc-1101-OAM-opnet
10.55.193.81 wiy9-mm-5gdmc-1101-S11-GTP-C-signet
10.55.193.80 wiy9-mm-5gdmc-1101-S10-GTP-C-signet
10.55.193.82 wiy9-mm-5gdmc-1101-Gn-GTP-C-signet
10.55.193.83 wiy9-mm-5gdmc-1101-DNS-signet
173.102.136.98 wiy9-mm-5gdmc-1101-S1-MME-1-s1net
173.102.136.99 wiy9-mm-5gdmc-1101-S1-MME-2-s1net
173.102.136.100 wiy9-mm-5gdmc-1101-S1-MMEb-1-s1net
173.102.136.101 wiy9-mm-5gdmc-1101-S1-MMEb-2-s1net
10.55.193.84 wiy9-mm-5gdmc-1101-S6a-1-signet
10.55.193.85 wiy9-mm-5gdmc-1101-S6a-2-signet
10.55.193.84 wiy9-mm-5gdmc-1101-T6a-1-signet
10.55.193.85 wiy9-mm-5gdmc-1101-T6a-2-signet
10.87.51.245 wiy9-mm-5gdmc-1101-LI-C-limgmt
10.87.51.244 wiy9-mm-5gdmc-1101-LI-I-lidata
10.55.193.86 wiy9-mm-5gdmc-1101-SLg-1-signet
10.55.193.87 wiy9-mm-5gdmc-1101-SLg-2-signet
10.55.193.88 wiy9-mm-5gdmc-1101-SLs-1-signet
10.55.193.89 wiy9-mm-5gdmc-1101-SLs-2-signet
10.55.193.90 wiy9-mm-5gdmc-1101-SGs-1-signet
10.55.193.91 wiy9-mm-5gdmc-1101-SGs-2-signet
10.55.193.92 wiy9-mm-5gdmc-1101-Sv-GTP-C-signet
173.102.136.102 wiy9-mm-5gdmc-1101-N2-1-s1net
173.102.136.103 wiy9-mm-5gdmc-1101-N2-2-s1net
10.55.193.93 wiy9-mm-5gdmc-1101-SBI-Client-signet
10.55.193.93 wiy9-mm-5gdmc-1101-SBI-Server-signet
10.11.92.96 zsy9-mm-5gdmc-1101-CTUM-opnet
10.11.92.96 zsy9-mm-5gdmc-1101-OAM-opnet
10.55.188.1 zsy9-mm-5gdmc-1101-S11-GTP-C-signet
10.55.188.0 zsy9-mm-5gdmc-1101-S10-GTP-C-signet
10.55.188.2 zsy9-mm-5gdmc-1101-Gn-GTP-C-signet
10.55.188.3 zsy9-mm-5gdmc-1101-DNS-signet
173.121.2.0 zsy9-mm-5gdmc-1101-S1-MME-1-s1net
173.121.2.1 zsy9-mm-5gdmc-1101-S1-MME-2-s1net
173.121.2.2 zsy9-mm-5gdmc-1101-S1-MMEb-1-s1net
173.121.2.3 zsy9-mm-5gdmc-1101-S1-MMEb-2-s1net
10.55.188.4 zsy9-mm-5gdmc-1101-S6a-1-signet
10.55.188.5 zsy9-mm-5gdmc-1101-S6a-2-signet
10.55.188.4 zsy9-mm-5gdmc-1101-T6a-1-signet
10.55.188.5 zsy9-mm-5gdmc-1101-T6a-2-signet
